repository_owner,repository_name,pr_number,waste,num_commits,status
facebook,hhvm,7966,5313,1,open
facebook,hhvm,7953,346220,1,open
facebook,hhvm,7955,53010,1,abandoned
facebook,hhvm,7956,274,1,abandoned
facebook,hhvm,7954,162727,2,open
facebook,hhvm,7946,312789,1,open
facebook,hhvm,7959,894,2,abandoned
facebook,hhvm,7965,833,2,abandoned
facebook,hhvm,7944,0,1,abandoned
facebook,hhvm,7964,291936,2,open
facebook,hhvm,7940,259057,1,open
facebook,hhvm,7937,232666,1,open
facebook,hhvm,7934,189506,1,open
facebook,hhvm,7936,203870,1,open
facebook,hhvm,7947,323369,3,abandoned
facebook,hhvm,7943,43890,1,abandoned
facebook,hhvm,7935,4775,1,abandoned
facebook,hhvm,7927,156483,1,open
facebook,hhvm,7933,41117,2,abandoned
facebook,hhvm,7930,2626,1,open
facebook,hhvm,7925,25149,1,abandoned
facebook,hhvm,7921,60,1,abandoned
facebook,hhvm,7929,38664,4,abandoned
facebook,hhvm,7942,255557,6,abandoned
facebook,hhvm,7926,25411,1,open
facebook,hhvm,7922,87561,1,abandoned
facebook,hhvm,7918,15344,1,abandoned
facebook,hhvm,7916,24077,1,abandoned
facebook,hhvm,7932,171905,1,open
facebook,hhvm,7919,14726,2,abandoned
facebook,hhvm,7914,14512,3,open
facebook,hhvm,7906,31,1,open
facebook,hhvm,7904,87953,1,abandoned
facebook,hhvm,7902,13530,1,abandoned
facebook,hhvm,7901,5548,1,open
facebook,hhvm,7903,16003,1,abandoned
facebook,hhvm,7900,4278,2,open
facebook,hhvm,7897,18796,2,abandoned
facebook,hhvm,7894,13873,2,abandoned
facebook,hhvm,7891,819060,2,abandoned
facebook,hhvm,7909,212022,1,open
facebook,hhvm,7912,1698644,3,abandoned
facebook,hhvm,7886,24176,1,abandoned
facebook,hhvm,7888,11603,1,abandoned
facebook,hhvm,7866,100,1,abandoned
facebook,hhvm,7873,358,1,abandoned
facebook,hhvm,7859,1392,1,abandoned
facebook,hhvm,7895,1880974,3,abandoned
facebook,hhvm,7852,148,1,abandoned
facebook,hhvm,7857,68218,3,abandoned
